club,clubLabel,venue,venueLabel,longitude,latitude,capacity
http://www.wikidata.org/entity/Q38568,São Paulo FC,http://www.wikidata.org/entity/Q821761,Estádio do Morumbi,-46.72015556,-23.60012500,120000
http://www.wikidata.org/entity/Q459090,Club América,http://www.wikidata.org/entity/Q320454,Estadio Banorte,-99.15055556,19.30305556,115000
http://www.wikidata.org/entity/Q845859,Cruz Azul,http://www.wikidata.org/entity/Q320454,Estadio Banorte,-99.15055556,19.30305556,115000
http://www.wikidata.org/entity/Q3963857,Q3963857,http://www.wikidata.org/entity/Q320454,Estadio Banorte,-99.15055556,19.30305556,115000
http://www.wikidata.org/entity/Q4816974,Atlético Español,http://www.wikidata.org/entity/Q320454,Estadio Banorte,-99.15055556,19.30305556,115000
http://www.wikidata.org/entity/Q5136108,Club América Reserves,http://www.wikidata.org/entity/Q320454,Estadio Banorte,-99.15055556,19.30305556,115000
http://www.wikidata.org/entity/Q17024689,Mineros de Zacatecas,http://www.wikidata.org/entity/Q320454,Estadio Banorte,-99.15055556,19.30305556,115000
http://www.wikidata.org/entity/Q30115940,Club América,http://www.wikidata.org/entity/Q320454,Estadio Banorte,-99.15055556,19.30305556,115000
http://www.wikidata.org/entity/Q30115950,Cruz Azul,http://www.wikidata.org/entity/Q320454,Estadio Banorte,-99.15055556,19.30305556,115000
http://www.wikidata.org/entity/Q217363,April 25 Sports Club,http://www.wikidata.org/entity/Q211618,Rungrado 1st of May Stadium,125.77527780,39.04972222,114000
http://www.wikidata.org/entity/Q994745,FC Internațional Curtea de Argeș,http://www.wikidata.org/entity/Q159848,Camp Nou,2.12277778,41.38083333,105000
http://www.wikidata.org/entity/Q223566,Al Ahly SC,http://www.wikidata.org/entity/Q158985,Cairo International Stadium,31.31233300,30.06911100,100500
http://www.wikidata.org/entity/Q286504,Zamalek SC,http://www.wikidata.org/entity/Q158985,Cairo International Stadium,31.31233300,30.06911100,100500
http://www.wikidata.org/entity/Q22929915,ZED FC,http://www.wikidata.org/entity/Q158985,Cairo International Stadium,31.31233300,30.06911100,100500
